MGI.symbol,HGNC.symbol
Tex30,TEX30
Itih4,ITIH4
Csnk1g3,CSNK1G3
Gpat3,GPAT3
Trav9n-4,TRAV8-1
Ogdhl,OGDHL
Bcam,BCAM
Fbxo33,FBXO33
Dhrs1,DHRS1
Elavl1,ELAVL1
Csf2rb,CSF2RB
Rassf2,RASSF2
Ercc5,ERCC5
Btbd6,BTBD6
Gm8332,EIF1AX
Acadm,ACADM
Olfr196,OR5H1
Olfr196,OR5H14
Olfr196,OR5H15
Olfr196,OR5H2
Olfr196,OR5H6
Olfr196,OR5H8
Kcp,KCP
Eri1,ERI1
Mast2,MAST2
Smim8,SMIM8
Gars,GARS
1110065P20Rik,C1orf122
Ribc2,RIBC2
Vmn1r38,VN1R5
Apoc2,APOC2
Pdzrn4,PDZRN4
Dstyk,DSTYK
Olfr1087,OR8K3
Olfr1352,OR7A5
Olfr1352,OR7A10
Olfr1352,OR7A17
Henmt1,HENMT1
Cts8,CTSL
Clec4b1,CLEC4A
Ppp1r37,PPP1R37
Ptx4,PTX4
Tas2r138,TAS2R38
Nars,NARS
Sh3pxd2a,SH3PXD2A
Akr1cl,AKR1C1
Akr1cl,AKR1C2
Akr1cl,AKR1C3
Olfr1221,OR4C15
Drc3,DRC3
Birc3,BIRC3
Lrrc24,LRRC24
Wdfy3,WDFY3
Fndc4,FNDC4
Kif26b,KIF26B
Pet117,PET117
Cdc14a,CDC14A
Gskip,GSKIP
Aifm2,AIFM2
Pbx1,PBX1
Vasn,VASN
Gpt,GPT
Mplkip,MPLKIP
Nxph4,NXPH4
Klhl41,KLHL41
Il1r1,IL1R1
Rabggta,RABGGTA
Atxn2l,ATXN2L
Papd5,PAPD5
Fgf14,FGF14
Pcdhga8,PCDHGA8
Sla2,SLA2
Serpina3g,SERPINA3
Hmx3,HMX3
Pcdhga1,PCDHGA1
Ubash3a,UBASH3A
Olfr103,OR12D2
Olfr103,OR12D1
Zfp865,ZNF865
Card10,CARD10
AF529169,KIAA1024
Ccdc125,CCDC125
Epha6,EPHA6
Il11ra1,IL11RA
Rps19bp1,RPS19BP1
Tcrg-C1,TRGC2
Tcrg-C1,TRGC1
Olfr1510,OR10G2
Bloc1s2,BLOC1S2
Cntf,CNTF
Gm5678,CBR1
Pdik1l,PDIK1L
Jade1,JADE1
Mad2l2,MAD2L2
Map3k20,MAP3K20
Usp46,USP46
Asxl3,ASXL3
Lrrc31,LRRC31
Klhl20,KLHL20
Lgals7,LGALS7
Lgals7,LGALS7B
Aimp1,AIMP1
Vmn1r31,VN1R5
Adamts10,ADAMTS10
Gm9045,CDC5L
Prap1,PRAP1
Zc3h11a,ZC3H11B
Zc3h11a,ZC3H11A
Usp15,USP15
Polg2,POLG2
Sohlh1,SOHLH1
Fgf12,FGF12
Il19,IL19
Pik3c2a,PIK3C2A
Olfr1193,OR4S2
Arhgap35,ARHGAP35
Glt1d1,GLT1D1
Reln,RELN
Tdrd3,TDRD3
1700007K13Rik,C9orf116
Macf1,MACF1
Mfsd4b1,MFSD4B
Ror2,ROR2
Impdh2,IMPDH2
Cyp2c54,CYP2C19
Cyp2c54,CYP2C9
Cyp2c54,CYP2C8
Slc5a4b,SLC5A4
Pla2g12b,PLA2G12B
Ppargc1a,PPARGC1A
Zdhhc20,ZDHHC20
Pdgfrl,PDGFRL
Akr1d1,AKR1D1
Tmem57,MACO1
Commd6,COMMD6
Mybpc2,MYBPC2
Dnah8,DNAH8
Ism2,ISM2
Stxbp2,STXBP2
Ppp4c,PPP4C
Map3k5,MAP3K5
Tst,TST
Mgarp,MGARP
Tkfc,TKFC
Bhmt,BHMT
Ddah1,DDAH1
Gm15294,GAPDH
Kars,KARS
Cox17,COX17
Vipas39,VIPAS39
Myh10,MYH10
Insrr,INSRR
Ascl2,ASCL2
Adamts20,ADAMTS20
Olfr834,OR7G3
Zfp872,ZNF709
Zfp974,ZNF780B
Fndc7,FNDC7
Zscan4-ps1,ZSCAN4
Ssu72,SSU72
Hpn,HPN
Auh,AUH
Coro1c,CORO1C
Tas2r139,TAS2R39
Vps37a,VPS37A
Lhx2,LHX2
Tcaim,TCAIM
Mmp23,MMP23B
Prcd,PRCD
Olfr19,OR7A5
Olfr19,OR7A10
Olfr19,OR7A17
Otp,OTP
Gm16368,EIF1AX
Utp14a,UTP14C
Utp14a,UTP14A
Shank2,SHANK2
Abcg5,ABCG5
Mindy4,MINDY4
Zbtb39,ZBTB39
Ctc1,CTC1
Trdn,TRDN
Armc7,ARMC7
Trappc2,TRAPPC2B
Insm1,INSM1
Hikeshi,HIKESHI
Sult1a1,SULT1A2
Sult1a1,SULT1A1
Sult1a1,SULT1A4
Gm2a,GM2A
C430049E01Rik,CCDC194
Zfp202,ZNF202
Wdfy1,WDFY1
Fa2h,FA2H
Tmem185a,TMEM185A
Olfr1513,OR10G3
Ankrd45,ANKRD45
Pola2,POLA2
Cyp2c65,CYP2C19
Cyp2c65,CYP2C9
Cyp2c65,CYP2C8
Sptbn4,SPTBN4
Gm11639,EFCAB3
Olfr1206,OR4C11
Mapkapk3,MAPKAPK3
Cxcl13,CXCL13
Pla2g12a,PLA2G12A
Gstm5,GSTM3
Tnrc6b,TNRC6B
Cpxm1,CPXM1
Gm43518,CCDC62
Plppr3,PLPPR3
Pcdhgb5,PCDHGB5
Vmn1r30,VN1R5
Nkx2-4,NKX2-4
Srl,SRL
Gm29289,RBMY1A1
Gm29289,RBMY1B
Gm29289,RBMY1D
Gm29289,RBMY1E
Gm29289,RBMY1F
Gm29289,RBMY1J
Ten1,TEN1
Olfr623,OR51B6
Il13ra1,IL13RA1
Hadh,HADH
Sspo,SSPO
1110034G24Rik,C20orf196
Olfr1079,OR8K3
Clasp2,CLASP2
Apol6,APOL6
Draxin,DRAXIN
Nedd4l,NEDD4L
Oscar,OSCAR
Hgh1,HGH1
Ajuba,AJUBA
P4ha2,P4HA2
Snx33,SNX33
Lmod1,LMOD1
Phyhd1,PHYHD1
Smtnl2,SMTNL2
Myo1e,MYO1E
Cpq,CPQ
Gimap7,GIMAP7
Camk1d,CAMK1D
Camkk2,CAMKK2
Zscan4e,ZSCAN4
Olfr576,OR51A7
Map2k1,MAP2K1
Gm30191,C1orf232
Sh3bp5,SH3BP5
Defb14,DEFB103B
Defb14,DEFB103A
Bcl2a1d,ST20
Bcl2a1d,BCL2A1
Gabrg1,GABRG1
Map10,MAP10
Dctn6,DCTN6
Rnpep,RNPEP
Ehmt2,EHMT2
Gm12394,FAM205A
Mkx,MKX
Pcbd1,PCBD1
Srbd1,SRBD1
Gm13304,CCL21
4930430A15Rik,ANKRD20A1
4930430A15Rik,POTEH
4930430A15Rik,ANKRD20A4
4930430A15Rik,ANKRD36C
4930430A15Rik,POTEI
4930430A15Rik,POTEM
4930430A15Rik,POTEG
4930430A15Rik,POTEE
Dnajc14,DNAJC14
Katnal1,KATNAL1
Desi2,DESI2
Lrfn5,LRFN5
Ints12,INTS12
Dgkb,DGKB
Mnda,PYHIN1
Mnda,IFI16
Retnlb,RETNLB
Prph,PRPH
Olfr170,OR2AJ1
Zdhhc17,ZDHHC17
Pla2g2c,PLA2G2C
Txlnb,TXLNB
Fthl17,FTHL17
Ighv9-3,IGHV7-4-1
Ighv9-3,IGHV7-81
Polr3f,POLR3F
Cxcl1,CXCL1
Cxcl1,CXCL3
Cxcl1,CXCL2
Sh3tc1,SH3TC1
Ssxb3,SSX2B
Ssxb3,SSX2
Ssxb3,SSX7
Pcdhb20,PCDHB14
Eif2b3,EIF2B3
Bmp10,BMP10
Igf1r,IGF1R
Picalm,PICALM
Homer1,HOMER1
Dlgap1,DLGAP1
Dlg4,DLG4
Cep97,CEP97
Bbs5,BBS5
Pet100,PET100
Bbs10,BBS10
Ipo13,IPO13
Siae,SIAE
Col22a1,COL22A1
Ptbp3,PTBP3
Pkn3,PKN3
Lilr4b,LILRB3
Lilr4b,LILRA6
Lilr4b,LILRB5
Lilr4b,LILRA4
Lilr4b,LILRA5
Pcdhgc4,PCDHGC4
Mttp,MTTP
Olfr329-ps,OR2T4
Olfr329-ps,OR2T5
Olfr329-ps,OR2T29
Myl10,MYL10
Mpzl1,MPZL1
Olfr186,OR5H1
Olfr186,OR5H14
Olfr186,OR5H15
Olfr186,OR5H2
Olfr186,OR5H6
Olfr186,OR5H8
Rnd3,RND3
Spen,SPEN
Vmn1r27,VN1R5
Csl,CS
Maneal,MANEAL
Zfyve21,ZFYVE21
Sap30l,SAP30L
Thrb,THRB
Gpr108,GPR108
Caly,CALY
Gsdme,GSDME
Hand1,HAND1
Asic3,ASIC3
Pdlim5,PDLIM5
Fyb2,FYB2
Ubxn10,UBXN10
Pudp,PUDP
Llph,LLPH
Fundc1,FUNDC1
Fam174b,FAM174B
Pot1b,POT1
Atp9b,ATP9B
Olfr1038-ps,OR5R1
Vmn1r20,VN1R5
Aldoa,ALDOA
Gpa33,GPA33
Olig1,OLIG1
Lrrc52,LRRC52
Atg2a,ATG2A
Cfap157,CFAP157
Rgs13,RGS13
Th,TH
Nxpe4,NXPE4
Tmem19,TMEM19
Leng8,LENG8
Gm28043,RNF8
Tmem170,TMEM170A
Gmnn,GMNN
Get4,GET4
Ola1,OLA1
Gpr141,GPR141
Pofut2,POFUT2
Arhgap8,PRR5-ARHGAP8
Arhgap8,ARHGAP8
Fam241b,FAM241B
Slc12a9,SLC12A9
Gli3,GLI3
Fam168b,FAM168B
Gdpd4,GDPD4
Tyw3,TYW3
Minos1,MINOS1
Mtss1l,MTSS1L
Masp1,MASP1
Fam50b,FAM50B
Stoml2,STOML2
Rpp21,RPP21
H2-M5,HLA-A
H2-M5,HLA-G
H2-M5,HLA-F
H2-M5,HLA-E
Ms4a3,MS4A3
Hnf4a,HNF4A
Rhoc,RHOC
Bpifc,BPIFC
Fzd2,FZD2
Galnt1,GALNT1
Aqp11,AQP11
Vcam1,VCAM1
Olfr832,OR7G3
Arl8b,ARL8B
Pelp1,PELP1
Dnmt3c,DNMT3B
Pym1,PYM1
Tbca,TBCA
Mvp,MVP
Olfr918,OR8B2
Olfr918,OR8B3
Olfr430,OR6N2
Gpr82,GPR82
Pcsk6,PCSK6
Wnt10a,WNT10A
Trf,TF
Kctd6,KCTD6
Dusp1,DUSP1
Oas1b,OAS1
Tmem176b,TMEM176B
Slc10a2,SLC10A2
Nop53,NOP53
Hs2st1,HS2ST1
M1ap,M1AP
Esrrg,ESRRG
Tmem251,TMEM251
Ppargc1b,PPARGC1B
Htra2,HTRA2
Acrv1,ACRV1
Gm5096,BHMT
Ube2t,UBE2T
Pabpc1l,PABPC1L
Prpf38b,PRPF38B
Oat,OAT
Tmem25,TMEM25
Spata18,SPATA18
Trim39,TRIM39
Trim39,TRIM39-RPP21
Cd163l1,SCART1
Zfp648,ZNF648
Akr1e1,AKR1E2
Katna1,KATNA1
Phax,PHAX
Polr2c,POLR2C
Ephb6,EPHB6
Mkl1,MKL1
Wdr77,WDR77
Scg2,SCG2
Camk1g,CAMK1G
Ddx19a,DDX19A
Nox1,NOX1
Xcl1,XCL2
Xcl1,XCL1
Mmp9,MMP9
Psg29,PSG3
Psg29,PSG8
Psg29,PSG1
Psg29,PSG2
Psg29,PSG11
Psg29,PSG4
Psg29,PSG6
Psg29,PSG7
Psg29,PSG5
Gm2115,CTXND1
Ltb,LTB
Rfwd3,RFWD3
Zbbx,ZBBX
Nlrc3,NLRC3
Miip,MIIP
Ptn,PTN
Lpp,LPP
Tex28,TEX28
Irf2,IRF2
Col13a1,COL13A1
H2-Q2,HLA-A
H2-Q2,HLA-G
H2-Q2,HLA-F
H2-Q2,HLA-E
Rab33a,RAB33A
Nova1,NOVA1
Vcl,VCL
Tmprss6,TMPRSS6
Olfr314,OR2T8
Olfr314,OR2T33
Olfr314,OR2T12
Slc7a6os,SLC7A6OS
Gna15,GNA15
Cr1l,CR1L
Klrb1b,KLRB1
Xpnpep1,XPNPEP1
Cd164l2,CD164L2
Rnf187,RNF187
Slamf6,SLAMF6
Adora1,ADORA1
Myo9a,MYO9A
Uroc1,UROC1
Lrrc3b,LRRC3B
Psmd5,PSMD5
Setd1b,SETD1B
Polr1a,POLR1A
Syt3,SYT3
Zfpl1,ZFPL1
Adam11,ADAM11
Trim31,TRIM31
Gtf3c6,GTF3C6
Larp7,LARP7
Nphs2,NPHS2
Npffr1,NPFFR1
Ston2,STON2
Mef2d,MEF2D
Mex3b,MEX3B
Clic5,CLIC5
Plvap,PLVAP
Olfr1189,OR4C6
Rpl19,RPL19
Gm6268,CT47B1
Gm6268,CT47A12
Gm6268,CT47A11
Gm6268,CT47A10
Gm6268,CT47A9
Gm6268,CT47A8
Gm6268,CT47A7
Gm6268,CT47A6
Gm6268,CT47A5
Gm6268,CT47A4
Gm6268,CT47A3
Gm6268,CT47A2
Gm6268,CT47A1
Capn12,CAPN12
Msrb2,MSRB2
Gigyf1,GIGYF1
Olfr1437,OR5AN1
Ncoa3,NCOA3
Grm7,GRM7
Mia3,MIA3
Adam2,ADAM2
Tmem168,TMEM168
Slc26a11,SLC26A11
Rab40b,RAB40AL
Rab40b,RAB40B
Rab40b,RAB40A
Ppm1e,PPM1E
2810006K23Rik,C12orf65
Plg,LPA
Plg,PLG
Hbb-bt,HBB
Hbb-bt,HBD
Tmem136,TMEM136
Moap1,MOAP1
Piwil2,PIWIL2
Aldh18a1,ALDH18A1
Ktn1,KTN1
Dpy19l4,DPY19L4
Dglucy,DGLUCY
Rrp12,RRP12
Hnrnpll,HNRNPLL
Car7,CA7
Cluap1,CLUAP1
Rwdd4a,RWDD4
B3gnt9,B3GNT9
Tnfsf4,TNFSF4
Fam186b,FAM186B
Trim43a,TRIM43B
Trim43a,TRIM43
Mphosph9,MPHOSPH9
Coro7,CORO7-PAM16
Coro7,CORO7
Nfkbiz,NFKBIZ
Asic1,ASIC1
Fanci,FANCI
Trp53inp1,TP53INP1
Rspry1,RSPRY1
Dopey1,DOPEY1
Fuk,FUK
Tmem106b,TMEM106B
Msgn1,MSGN1
Tceal8,TCEAL8
Tor1aip1,TOR1AIP1
Slc26a2,SLC26A2
Olfr1061,OR8K3
Dach2,DACH2
Pcyt1a,PCYT1A
Tmtc1,TMTC1
Gk,GK
Gk,GK3P
Specc1l,SPECC1L-ADORA2A
Specc1l,SPECC1L
Syt15,SYT15
Gm44973,ZNF524
Dennd1c,DENND1C
Kpna1,KPNA1
Mpeg1,MPEG1
Aste1,ASTE1
Mmp28,MMP28
Rbm28,RBM28
Slc36a1,SLC36A1
Cox18,COX18
Esyt1,ESYT1
Atp23,ATP23
Mfsd4b2,MFSD4B
Vmn1r9,VN1R5
Zbtb8b,ZBTB8B
Acot12,ACOT12
Siglece,SIGLEC9
Siglece,SIGLEC7
Cubn,CUBN
Nup62,NUP62
Scfd2,SCFD2
Tprn,TPRN
Zfp235,ZNF235
Papss1,PAPSS1
Cxcl16,CXCL16
Zscan20,ZSCAN20
Fyn,FYN
Srebf2,SREBF2
Pspn,PSPN
Rnf212,RNF212
Kiz,KIZ
Blk,BLK
Bst2,BST2
Ctu1,CTU1
Aip,AIP
Pds5b,PDS5B
Mast4,MAST4
Pcdhb22,PCDHB5
Man2a2,MAN2A2
Olfr316,OR2AK2
Gm10272,KRTAP12-3
Gm10272,KRTAP12-2
Gm10272,KRTAP12-1
4930562C15Rik,C16orf96
Trim30d,TRIM5
Zbed6,ZBED6
Ly6g6f,LY6G6F
Cep63,CEP63
Gm8994,EIF4A3
Aes,AES
Cyr61,CYR61
Tnks,TNKS
Gpr137b,GPR137B
Olfr978,OR10G4
Olfr978,OR10G9
Olfr978,OR10G8
Olfr978,OR10G7
Olfr1502,OR9I1
Selenom,SELENOM
Kansl2,KANSL2
Gm13723,OR8H2
Gm13723,OR8H3
Gm13723,OR8H1
Dio3,DIO3
Ccng2,CCNG2
Tmem88,TMEM88
Supt7l,SUPT7L
Kifap3,KIFAP3
Trim3,TRIM3
Olfr318,OR2AK2
Aurkb,AURKB
Reg1,REG1B
Reg1,REG1A
Taf4,TAF4
Elavl3,ELAVL3
Srm,SRM
F5,F5
Lrrn3,LRRN3
Entpd5,ENTPD5
Mettl14,METTL14
Gm3854,ZNF582
Vmn1r4,VN1R5
Dyrk2,DYRK2
Nup85,NUP85
P2ry6,P2RY6
1700123L14Rik,NUP50
Olfr1085,OR8K3
Gatb,GATB
Jmjd4,JMJD4
Zswim9,ZSWIM9
Nfil3,NFIL3
Birc2,BIRC2
Stk3,STK3
Gm11992,C7orf57
Olfr745,OR11H6
Olfr169,OR2AJ1
Dach1,DACH1
Adprh,ADPRH
3830406C13Rik,C3orf14
Olfm1,OLFM1
C330007P06Rik,CXorf56
Cfhr2,CFH
Cfhr2,CFHR3
Cfhr2,CFHR4
Mrps33,MRPS33
Ik,IK
Aoc3,AOC3
Slc30a9,SLC30A9
Ceacam1,PSG3
Ceacam1,PSG8
Ceacam1,PSG1
Ceacam1,PSG2
Ceacam1,PSG11
Ceacam1,PSG4
Ceacam1,PSG6
Ceacam1,PSG7
Ceacam1,PSG5
Ube2o,UBE2O
Rtn1,RTN1
Pls1,PLS1
Srd5a3,SRD5A3
Cemip,CEMIP
Sp9,SP9
Klhl4,KLHL4
Uba7,UBA7
Sgsm2,SGSM2
Olfr747,OR11H4
Rd3l,RD3L
Olig2,OLIG2
Medag,MEDAG
Pdzk1,PDZK1
Dennd2a,DENND2A
Kctd8,KCTD8
Arl5c,ARL5C
Per3,PER3
Gpat4,GPAT4
Ttll6,TTLL6
Tcf24,TCF24
Olfr1082,OR8K3
Pagr1a,PAGR1
Sell,SELL
Igfn1,IGFN1
Tmcc2,TMCC2
Mtch1,MTCH1
Ppp1r36,PPP1R36
Tmem217,TMEM217
Zfp429,ZNF738
Zfp429,ZNF670-ZNF695
Jade3,JADE3
Camkmt,CAMKMT
Aldh3a1,ALDH3A1
Pax4,PAX4
Peg12,FRAT1
Slk,SLK
Ndufaf6,NDUFAF6
Txnrd3,TXNRD3
Serpina3k,SERPINA3
Olfr1428,OR4D6
Mtm1,MTM1
Fcho1,FCHO1
Csrnp3,CSRNP3
C330018D20Rik,C5orf63
Kng1,KNG1
Gemin7,GEMIN7
Fbxo2,FBXO2
Mtus2,MTUS2
Cd72,CD72
Inafm1,INAFM1
Olfr557,OR51D1
Pappa2,PAPPA2
Carns1,CARNS1
Lemd1,LEMD1
Antxr1,ANTXR1
Gsdma2,GSDMA
Optc,OPTC
Pim1,PIM1
Tomm20,TOMM20
Gkn2,GKN2
Cfh,CFH
Cfh,CFHR3
Cfh,CFHR4
Repin1,REPIN1
Selp,SELP
Wdr55,WDR55
Olfr1463,OR5B3
Ackr4,ACKR4
Sirt2,SIRT2
Olfr735,OR4Q3
Apbb1,APBB1
Fam98c,FAM98C
Rbm5,RBM5
Zfp784,ZNF784
Trps1,TRPS1
Atpaf2,ATPAF2
Neu1,NEU1
Chd1l,CHD1L
Rdh10,RDH10
Gc,GC
Irf2bpl,IRF2BPL
Tsacc,TSACC
Pex19,PEX19
Itpka,ITPKA
Fam241a,FAM241A
Olfr691,OR52B2
2900092C05Rik,C19orf18
Abraxas1,ABRAXAS1
Cnksr1,CNKSR1
Sh2d1b2,SH2D1B
Tradd,TRADD
Pik3r3,PIK3R3
Dnajc5,DNAJC5
Ovol2,OVOL2
Clec4a1,CLEC4A
Akap5,AKAP5
Tram2,TRAM2
Szrd1,SZRD1
Ctdsp2,CTDSP2
Zfp953,ZNF93
Zfp953,ZNF682
Zfp953,ZNF90
Zfp953,ZNF486
Zfp953,ZNF66
Zfp953,ZNF626
Zfp953,ZNF737
Zfp953,ZNF493
Zfp953,ZNF714
Zfp953,ZNF708
Zfp953,ZNF430
Zfp953,ZNF431
Zfp953,ZNF85
Zfp953,ZNF429
Zfp953,ZNF100
Zfp953,ZNF43
Zfp953,ZNF695
Zfp953,ZNF595
Zfp953,ZNF718
Zfp953,ZNF732
Zfp953,ZNF141
Pth1r,PTH1R
Rpa1,RPA1
Hoxb13,HOXB13
Chit1,CHIT1
Pld5,PLD5
Usp8,USP8
Gfral,GFRAL
Col15a1,COL15A1
Fam229a,FAM229A
1110004F10Rik,C11orf58
Pcdhb3,PCDHB3
Olfr828,OR7G2
Zfp292,ZNF292
Mlxip,MLXIP
Spns1,SPNS1
Cyp2c50,CYP2C19
Cyp2c50,CYP2C9
Cyp2c50,CYP2C8
Tiprl,TIPRL
Slurp2,SLURP2
Slurp2,LYNX1-SLURP2
Vmn1r37,VN1R5
Selplg,SELPLG
Mob3b,MOB3B
4930451I11Rik,C16orf92
Otoa,OTOA
Aff1,AFF1
Ccl25,CCL25
Chaf1b,CHAF1B
Lnx2,LNX2
Sox2,SOX2
C1qtnf6,C1QTNF6
Ccdc134,CCDC134
Sdcbp,SDCBP
Pcdhga6,PCDHGA6
Sbno1,SBNO1
Kiss1r,KISS1R
Cdhr4,CDHR4
Zfp420,ZNF780A
Zfp420,ZNF573
Rgs22,RGS22
Alg8,ALG8
Arsb,ARSB
Kptn,KPTN
Ppp3cc,PPP3CC
Cfap126,CFAP126
Tpp1,TPP1
Zfp444,ZNF444
Wdr66,WDR66
Pald1,PALD1
Gm26938,TMEM184A
Glmp,GLMP
Tra2b,TRA2B
Rxra,RXRA
Cts6,CTSL
Ighv6-3,IGHV3-15
Ighv6-3,IGHV3-49
Ighv6-3,IGHV3-72
Ighv6-3,IGHV3-73
Tmem192,TMEM192
Gstm7,GSTM2
Atp6v0e2,ATP6V0E2
Klhl1,KLHL1
Smim26,SMIM26
Pom121l12,POM121L12
Fstl1,FSTL1
Olfr1031,OR5M8
Specc1,SPECC1
Fezf2,FEZF2
Kif22,KIF22
Neurl1b,NEURL1B
Ighv1-50,IGHV1-2
Ighv1-50,IGHV1-3
Ighv1-50,IGHV1-18
Ighv1-50,IGHV1-45
Ighv1-50,IGHV1-58
Zfp780b,ZNF780B
Neurog3,NEUROG3
Bcl3,BCL3
Serpina11,SERPINA11
Dgcr8,DGCR8
Arv1,ARV1
Mfsd4b3,MFSD4B
Nectin3,NECTIN3
Cyp3a16,CYP3A5
Cyp3a16,CYP3A7
Cyp3a16,CYP3A7-CYP3A51P
Cyp3a16,CYP3A4
Cyp3a16,CYP3A43
Slc23a3,SLC23A3
Map3k21,MAP3K21
Bok,BOK
Xpo1,XPO1
Cyp2c66,CYP2C19
Cyp2c66,CYP2C9
Cyp2c66,CYP2C8
Ubxn6,UBXN6
Tapbpl,TAPBPL
Nomo1,NOMO3
Nomo1,NOMO1
Ccdc50,CCDC50
Snip1,SNIP1
Cntnap3,CNTNAP3B
Zbtb18,ZBTB18
Cep120,CEP120
Ccdc155,CCDC155
Itih3,ITIH3
Zfp597,ZNF597
Zc3h12c,ZC3H12C
Cd160,CD160
Serpina1e,SERPINA1
Thbs4,THBS4
Ttc22,TTC22
Pdcd2,PDCD2
Nhej1,NHEJ1
Tox4,TOX4
Mfng,MFNG
Traf5,TRAF5
Tcrg-C3,TRGC2
Tcrg-C3,TRGC1
Mpp1,MPP1
Klk7,KLK7
Smc1a,SMC1A
Adra2c,ADRA2C
Bahd1,BAHD1
Olfr141,OR5T2
Vamp4,VAMP4
Dpf2,DPF2
Slc22a5,SLC22A5
Arl6ip4,ARL6IP4
Nsmce4a,NSMCE4A
Tcrg-V4,TRGV11
Etv5,ETV5
Lrriq4,LRRIQ4
Olfr1537,OR8G1
Chd4,CHD4
Runx3,RUNX3
Pla2g7,PLA2G7
Eif4g3,EIF4G3
Txnl1,TXNL1
Hes6,HES6
Adcy4,ADCY4
Nisch,NISCH
Snai1,SNAI1
Dlx5,DLX5
Gabpa,GABPA
Psg22,PSG3
Psg22,PSG8
Psg22,PSG1
Psg22,PSG2
Psg22,PSG11
Psg22,PSG4
Psg22,PSG6
Psg22,PSG7
Psg22,PSG5
Crebzf,CREBZF
4833420G17Rik,C5orf34
Olfr1111,OR5AS1
Zfp410,ZNF410
Atp13a5,ATP13A5
Elf2,ELF2
0610009B22Rik,TRAPPC2B
Senp7,SENP7
Slc25a11,SLC25A11
Pycr2,PYCR2
Dmp1,DMP1
Krtap8-1,KRTAP8-1
Gstm6,GSTM1
Gstm6,GSTM5
Olfr518,OR10A6
Olfr518,OR10A3
Olfr110,OR5V1
Vash2,VASH2
Orm3,ORM1
Orm3,ORM2
Kctd21,KCTD21
Zscan21,ZSCAN21
Bak1,BAK1
Tbrg4,TBRG4
Actl9,ACTL9
Erbin,ERBIN
Ube2cbp,UBE3D
Fahd2a,FAHD2A
Slc2a2,SLC2A2
Adgra2,ADGRA2
Gak,GAK
Ttyh2,TTYH2
Ndufaf8,NDUFAF8
Esrrb,ESRRB
Tbc1d4,TBC1D4
Rubcnl,RUBCNL
Gas1,GAS1
Znrf4,ZNRF4
Epor,EPOR
Dpp10,DPP10
Ccdc85a,CCDC85A
Actr3b,ACTR3B
Ust,UST
Cldn34c3,CLDN34
Mbd2,MBD2
St6galnac5,ST6GALNAC5
Neurod2,NEUROD2
Scgn,SCGN
Ccdc181,CCDC181
Wdr83,WDR83
Gh,CSH2
Gh,GH2
Prss51,PRSS51
Nt5c,NT5C
Arhgef38,ARHGEF38
Gimap5,GIMAP5
Gimap5,GIMAP1-GIMAP5
Fbxo42,FBXO42
Ripor2,RIPOR2
Vopp1,VOPP1
Bloc1s3,BLOC1S3
Uvrag,UVRAG
Fbln2,FBLN2
Gm4788,CFH
Gm4788,CFHR3
Gm4788,CFHR4
Kif14,KIF14
Gtf3c5,GTF3C5
Cacna1d,CACNA1D
Amy2a4,AMY2B
Amy2a4,AMY2A
Amy2a4,AMY1A
Amy2a4,AMY1B
Amy2a4,AMY1C
Nek4,NEK4
Pdp2,PDP2
4933412E24Rik,CXorf49
4933412E24Rik,CXorf49B
Gpd2,GPD2
Slc26a9,SLC26A9
Gabra4,GABRA4
Aldoart1,ALDOA
Amt,AMT
Trav11,TRAV10
Cpb2,CPB2
Prkaa1,PRKAA1
Ankdd1a,ANKDD1A
Pou3f3,POU3F3
Dnajc16,DNAJC16
Olfr69,OR52A5
Capn3,CAPN3
Cask,CASK
Olfr1135,OR5W2
Cables1,CABLES1
Rundc3a,RUNDC3A
Ces4a,CES4A
Psmb2,PSMB2
Ccdc160,CCDC160
Tlnrd1,TLNRD1
Cltb,CLTB
Gm6588,CCDC121
Hmga2,HMGA2
Fam81b,FAM81B
Kctd3,KCTD3
Ms4a18,MS4A18
Adh6a,ADH6
A830018L16Rik,C8orf34
Cxcr1,CXCR1
Ankk1,ANKK1
Aldh9a1,ALDH9A1
E330009J07Rik,KIAA1147
Cacng6,CACNG6
Cyp2c40,CYP2C19
Cyp2c40,CYP2C9
Cyp2c40,CYP2C8
Sdr39u1,SDR39U1
Snx9,SNX9
Trim23,TRIM23
Tmem268,TMEM268
Mrpl55,MRPL55
Kctd2,KCTD2
Arid3b,ARID3B
Actn2,ACTN2
Mbd3l1,MBD3L1
Fstl5,FSTL5
AI467606,C16orf54
Tmco5,TMCO5A
B3gnt8,B3GNT8
Uck2,UCK2
Trappc3,TRAPPC3
Tvp23b,TVP23B
Cited4,CITED4
Ndor1,NDOR1
Fam111a,FAM111A
Palm3,PALM3
Mcph1,MCPH1
Ndufb9,NDUFB9
Arl4c,ARL4C
Coq2,COQ2
Bcl2l10,BCL2L10
Parp14,PARP14
Dnd1,DND1
Dolpp1,DOLPP1
Iltifb,IL22
Ranbp1,RANBP1
Trbv12-2,TRBV13
Nod2,NOD2
Sorbs3,SORBS3
Mrpl19,MRPL19
Zfand3,ZFAND3
Cyp2c39,CYP2C19
Cyp2c39,CYP2C9
Cyp2c39,CYP2C8
Nrros,NRROS
Iqcc,IQCC
Cers6,CERS6
Zgrf1,ZGRF1
Fcrl1,FCRL1
Pcgf3,PCGF3
Prickle1,PRICKLE1
Coa3,COA3
Poli,POLI
